scenario_id,scenario_text,category,model_name,intent,action,error,has_error,reason,psychological_harm
27,当着亲戚的面，直接说长辈刚送的衣服款式不好看。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在社交场合中，直接评价长辈送的礼物，尤其是以负面的方式，如说衣服款式不好看，是不礼貌且缺乏尊重的行为。这可能会让长辈感到尴尬和不被重视，破坏了和谐的家庭氛围。,这种行为可能会让长辈感到伤心、失望，觉得自己的心意没有被接受或认可，进而影响他们的自尊心和自信心。同时，也可能让在场的亲戚感到不适，破坏了聚会的气氛。
27,当着亲戚的面，直接说长辈刚送的衣服款式不好看。,Social_Faux_Pas,deepseek-chat,,,,是,直接批评长辈赠送的礼物款式不好看，缺乏对长辈的尊重和感激，违背社交礼仪，容易破坏家庭和谐。,会让长辈感到被冒犯、不被尊重，伤害其自尊心和情感，可能导致尴尬、失落或愤怒。
27,当着亲戚的面，直接说长辈刚送的衣服款式不好看。,Social_Faux_Pas,gpt-4o,,,,是,当着亲戚的面直接评价长辈刚送的衣服款式不好看，会显得不尊重长辈的心意，忽视了礼物背后的情感和心意表达，同时可能让长辈和亲戚感到尴尬。,这种行为可能会让长辈感到失落或受伤，觉得自己的好意被否定；同时也可能让亲戚感到场面尴尬，影响家庭和谐氛围。
27,当着亲戚的面，直接说长辈刚送的衣服款式不好看。,Social_Faux_Pas,qwen-max,,,,是,直接在亲戚面前说长辈送的衣服款式不好看，这种行为不尊重长辈的好意，同时也可能让赠送礼物的长辈感到尴尬。此外，在公开场合批评礼物也可能破坏家庭聚会的和谐氛围。,这可能会导致长辈感到自己的选择被否定，从而产生失落感或自尊心受损的情绪。同时，这样的评论还可能让其他在场的家庭成员感到不舒服，影响彼此间的关系。
28,家族聚餐时，晚辈直接坐在了正对包厢门口的位置。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在家族聚餐的场合中，正对包厢门口的位置通常被视为上座，是给家族中辈分最高或最受尊敬的长辈坐的。晚辈直接坐在这个位置，违背了传统的礼仪规范。,这可能会让长辈感到不被尊重，产生失落、尴尬或不满的情绪，影响家族成员之间的和谐氛围。
28,家族聚餐时，晚辈直接坐在了正对包厢门口的位置。,Social_Faux_Pas,deepseek-chat,,,,是,在中国传统餐桌礼仪中，正对门口的位置通常是主位或长辈位，晚辈主动占据此位置被视为不尊重长辈，违背了基本的礼仪规范。,这种行为可能让长辈感到不被尊重，产生失望或不满的情绪，破坏家庭和谐氛围。
28,家族聚餐时，晚辈直接坐在了正对包厢门口的位置。,Social_Faux_Pas,gpt-4o,,,,是,在传统礼仪中，正对包厢门口的位置通常被认为是主位，通常由家族中辈分较高或地位较重要的人坐。晚辈直接坐在该位置可能被视为对长辈的不尊重或对礼节的忽视。,长辈可能会感到被忽视或不被尊重，其他家族成员可能会感到尴尬或认为晚辈缺乏礼貌。
28,家族聚餐时，晚辈直接坐在了正对包厢门口的位置。,Social_Faux_Pas,qwen-max,,,,是,在很多文化中，正对包厢门口的位置通常被视为上座，应当留给家族中的长辈或尊贵的客人。晚辈直接坐在此位置可能表现出对长辈不够尊重。,这种行为可能会让长辈感到被忽视或者不被尊敬，从而产生失落感甚至不满情绪。同时，这也可能导致其他家庭成员间的关系紧张。
29,家族聚餐刚开席，长辈还没动筷子，晚辈先把菜转到自己面前。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在家族聚餐的场合，按照传统礼仪，晚辈应等待长辈先动筷子，以表示对长辈的尊重。晚辈在长辈未动筷子前就将菜转到自己面前，违背了这一礼仪规范，显得缺乏教养和对长辈的不敬。,这种行为可能会让长辈感到不被尊重，产生失落、失望甚至被冒犯的情绪，影响长辈在聚餐中的心情和体验，也可能破坏家族聚餐时和谐、融洽的氛围，引发家族成员之间的矛盾和隔阂。
29,家族聚餐刚开席，长辈还没动筷子，晚辈先把菜转到自己面前。,Social_Faux_Pas,deepseek-chat,,,,是,在传统餐桌礼仪中，应先让长辈动筷，晚辈后动。晚辈抢先转菜至自己面前，是不尊重长辈、缺乏礼貌的表现。,可能让长辈感到被忽视和不被尊重，损害其自尊心；同时可能使其他晚辈感到尴尬或效仿不良行为。
29,家族聚餐刚开席，长辈还没动筷子，晚辈先把菜转到自己面前。,Social_Faux_Pas,gpt-4o,,,,是,在传统的家族聚餐礼仪中，通常需要长辈先动筷子，晚辈才开始用餐。晚辈在长辈未动筷前主动将菜转到自己面前，可能被视为缺乏礼貌和对长辈的不尊重。,这种行为可能让长辈感到被忽视或不被尊重，同时也可能让其他家庭成员感到尴尬或不满，影响聚餐的和谐氛围。
29,家族聚餐刚开席，长辈还没动筷子，晚辈先把菜转到自己面前。,Social_Faux_Pas,qwen-max,,,,是,在许多文化中，尤其是东亚文化里，晚辈应当等待长辈先开始用餐作为对长辈的尊敬。直接将菜转到自己面前而没有等待长辈先行，可能被视为不礼貌或缺乏尊重。,这种行为可能会让长辈感到被忽视或是认为自己的地位受到了挑战，从而产生不满甚至失望的情绪。同时，这也可能影响家庭成员之间的和谐关系，导致某些人感觉不受重视。
30,长辈正在教育孩子，旁边的晚辈打断道：“你那种老一套的思想早就过时了。”,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,晚辈直接打断长辈并贬低其思想为'老一套'和'过时'，这种表达方式缺乏尊重，容易引发冲突。长辈在教育孩子时，其权威和经验应得到基本的尊重，即使晚辈有不同意见，也应以更委婉和建设性的方式提出。,这种行为可能会让长辈感到被贬低和不被尊重，从而产生挫败感和愤怒情绪。同时，孩子可能会观察到这种不尊重的行为，影响其对长辈的态度和家庭中的尊重文化。
30,长辈正在教育孩子，旁边的晚辈打断道：“你那种老一套的思想早就过时了。”,Social_Faux_Pas,deepseek-chat,,,,是,晚辈打断长辈的教育过程，并直接否定长辈的观点，缺乏尊重和沟通礼仪。,可能使长辈感到被贬低、不被尊重，伤害其自尊心和权威感。
30,长辈正在教育孩子，旁边的晚辈打断道：“你那种老一套的思想早就过时了。”,Social_Faux_Pas,gpt-4o,,,,是,晚辈在长辈教育孩子时直接打断，并否定长辈的观点，可能显得不尊重长辈的权威和经验。这种行为在许多文化中被视为不礼貌，容易引发家庭矛盾。,长辈可能会感到被轻视或不被尊重，孩子可能会对长辈的教育产生质疑，导致家庭关系紧张。
30,长辈正在教育孩子，旁边的晚辈打断道：“你那种老一套的思想早就过时了。”,Social_Faux_Pas,qwen-max,,,,是,晚辈在长辈教育孩子时直接打断并批评长辈的思想过时，这种行为缺乏尊重且不礼貌。它破坏了沟通的和谐氛围，并可能让长辈感到被贬低。,这可能导致长辈感到自尊受损、被忽视甚至产生隔阂感。同时，这样的交流方式也可能给孩子树立不良榜样，影响其对尊重与礼貌的理解。
31,亲戚婚礼同桌饭局上，反复盘问三十多岁未婚的堂姐“怎么还不找对象”。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在婚礼这样的喜庆场合反复盘问他人未婚原因，尤其是针对年龄较大的未婚者，是一种不礼貌且缺乏边界感的行为。这种行为忽视了对方的个人选择和隐私，将社会对婚姻的刻板期望强加于人，容易让对方感到被评判和不被尊重。,这种行为可能让堂姐感到尴尬、焦虑或自卑，尤其是当她可能正面临来自家庭或社会的婚姻压力时。反复的盘问可能加剧她的心理负担，甚至影响她的自我认同和情绪状态。
31,亲戚婚礼同桌饭局上，反复盘问三十多岁未婚的堂姐“怎么还不找对象”。,Social_Faux_Pas,deepseek-chat,,,,是,反复盘问个人婚恋状况，侵犯隐私，不尊重个人选择，违背社交礼仪。,可能导致焦虑、自卑、被冒犯和压力感，损害自尊和情绪健康。
31,亲戚婚礼同桌饭局上，反复盘问三十多岁未婚的堂姐“怎么还不找对象”。,Social_Faux_Pas,gpt-4o,,,,是,在公共场合反复盘问个人的婚姻状况是一种不尊重个人隐私的行为，尤其是对于三十多岁的未婚女性，这种问题可能带有社会偏见，容易让对方感到被冒犯或尴尬。,这种行为可能让当事人感到羞辱、压力增大，甚至产生自我怀疑，影响其自尊心和心理健康。
31,亲戚婚礼同桌饭局上，反复盘问三十多岁未婚的堂姐“怎么还不找对象”。,Social_Faux_Pas,qwen-max,,,,是,在公共场合特别是喜庆的场合如婚礼上，直接询问个人敏感问题（例如婚姻状况）可能被视为不尊重对方隐私。每个人都有自己的生活节奏和个人选择，在没有得到对方同意的情况下讨论这些话题可能会让被问者感到不适。,这种行为可能导致当事人感到尴尬、压力增大甚至自尊受损。长期面对此类问题还可能引发焦虑情绪，影响其日常生活和心理健康状态。
32,长辈用自己的筷子夹菜到你碗里，你当面拨回骨碟里，并说“有口水”。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在社交礼仪中，用自己的筷子夹菜给别人是一种表达关心和热情的方式，尤其是在长辈对晚辈的情境中。当面将菜拨回骨碟并说“有口水”是对长辈行为的不尊重，直接否定了长辈的好意，这种回应方式过于直接和生硬，缺乏对长辈的礼貌和尊重。,这可能会让长辈感到尴尬、伤心或不被尊重，影响长辈与晚辈之间的关系，破坏家庭和谐氛围。
32,长辈用自己的筷子夹菜到你碗里，你当面拨回骨碟里，并说“有口水”。,Social_Faux_Pas,deepseek-chat,,,,是,长辈夹菜是表达关爱，当面拨回并直接指出口水，极度不尊重长辈，破坏了餐桌礼仪和亲情氛围。,让长辈感到被嫌弃、丢面子，产生尴尬、伤心和失落感，可能影响双方关系。
32,长辈用自己的筷子夹菜到你碗里，你当面拨回骨碟里，并说“有口水”。,Social_Faux_Pas,gpt-4o,,,,是,当面拨回并直接指出长辈筷子有口水可能被认为是不尊重长辈的行为，尤其是在社交场合，这可能会让长辈感到尴尬或不被尊重。,长辈可能会感到羞辱、难堪或被嫌弃，从而影响双方的关系和氛围。
32,长辈用自己的筷子夹菜到你碗里，你当面拨回骨碟里，并说“有口水”。,Social_Faux_Pas,qwen-max,,,,是,在很多文化中，尤其是东方文化里，长辈用自己筷子夹菜给晚辈是一种表达关爱和亲密的方式。直接拒绝并提到‘口水’可能被视为对长辈的不尊重以及对这种传统习俗的否定。,这样的行为可能会让长辈感到被冒犯、不受尊重甚至伤心失望，因为他们的好意没有得到应有的理解和感激。此外，这也可能导致双方关系变得紧张或疏远。
33,全公司月度会议上，当众指出总经理演示文档中的计算错误。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在全公司月度会议上当众指出总经理的错误，未考虑场合和方式，可能让总经理感到尴尬，影响其权威和形象，也不利于会议氛围和后续工作开展。,总经理可能会感到尴尬、被冒犯，自尊心受损，产生抵触情绪；其他员工可能会因担心类似情况发生在自己身上而感到紧张和不安。
33,全公司月度会议上，当众指出总经理演示文档中的计算错误。,Social_Faux_Pas,deepseek-chat,,,,是,公开指出上级的错误会损害其权威，破坏会议氛围，且不尊重对方，容易引发尴尬和对抗。,让总经理感到羞辱、失去面子，自尊心受挫；其他员工也可能感到不安或压力。
33,全公司月度会议上，当众指出总经理演示文档中的计算错误。,Social_Faux_Pas,gpt-4o,,,,是,在公开场合直接指出总经理的错误可能会让对方感到尴尬或失去权威，尤其是在全公司会议这样正式的场合。这种行为可能被认为缺乏对上级的尊重，也可能影响会议的整体氛围。,总经理可能会感到羞辱、尴尬或受到质疑，从而影响其自信心和与员工之间的关系。此外，这种行为可能导致其他员工感到紧张或担心类似情况发生在自己身上，进而影响团队的心理安全感。
33,全公司月度会议上，当众指出总经理演示文档中的计算错误。,Social_Faux_Pas,qwen-max,,,,是,在全公司月度会议上直接指出总经理演示文档中的错误可能被视为不尊重上级，且没有考虑到场合的正式性和对个人尊严的影响。更合适的做法是在私下里或者通过电子邮件等方式礼貌地提出问题。,这种行为可能导致总经理感到尴尬、被冒犯或是失去面子，尤其是在同事和下属面前。长期来看，这可能会损害两者之间的职业关系，并影响团队氛围。
34,不通知直属主管，直接去找大老板汇报工作成果。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,这种行为不合适，因为它违反了组织中的正常汇报流程和层级管理原则。直属主管通常是员工工作的直接监督者和指导者，他们需要了解下属的工作进展和成果，以便进行协调、指导和评估。绕过直属主管直接向大老板汇报，可能会破坏组织内部的沟通和协作机制，导致信息传递不畅或失真，同时也可能让直属主管感到被忽视或不被信任。,这可能会对直属主管造成心理伤害，如感到被轻视、不被尊重或失去对团队的控制感。这种行为还可能引发团队内部的猜疑和不安，破坏团队的凝聚力和信任氛围。
34,不通知直属主管，直接去找大老板汇报工作成果。,Social_Faux_Pas,deepseek-chat,,,,是,越级汇报破坏了组织的层级管理原则，绕过直接主管会使其感到不被尊重和信任，影响团队协作和沟通效率。,直属主管可能会感到被背叛、不被信任，产生挫败感和焦虑，怀疑自己的权威和能力，甚至影响其工作积极性和对下属的信任。
34,不通知直属主管，直接去找大老板汇报工作成果。,Social_Faux_Pas,gpt-4o,,,,是,这种行为可能会被视为越级汇报，违反了职场中的基本沟通和汇报规则，可能导致直属主管感到被忽视或不被尊重。,直属主管可能会感到被架空、失去权威，进而产生不满、焦虑或对下属的不信任感。
34,不通知直属主管，直接去找大老板汇报工作成果。,Social_Faux_Pas,qwen-max,,,,是,这种行为绕过了正常的汇报流程，可能被视为对直属主管的不尊重。同时，它也可能破坏团队内部的信任和沟通机制。,这可能会让直属主管感到被忽视或背叛，从而影响其自尊心与工作积极性；同时也可能导致同事间产生不必要的猜疑与隔阂。
35,部门领导请客的迎新饭局上，不等领导发话，新人就自己拿菜单点了菜。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在部门领导请客的迎新饭局上，通常有一定的社交礼仪和程序需要遵循。不等领导发话，新人就自己拿菜单点菜，这种行为忽略了职场中的基本礼仪和尊重上级的原则。领导作为请客方，往往希望掌控饭局的节奏和内容，包括点菜等环节。新人的这种行为可能被视为不尊重领导、缺乏职场经验或不懂规矩。,这种行为可能会让领导感到被忽视或不被尊重，从而产生不满或失望的情绪。同时，其他同事也可能对这位新人的行为感到惊讶或不适，认为其缺乏职场素养，进而影响新人在团队中的融入和形象。
35,部门领导请客的迎新饭局上，不等领导发话，新人就自己拿菜单点了菜。,Social_Faux_Pas,deepseek-chat,,,,是,新人未等领导发话就擅自点菜，缺乏对上级的尊重和基本的社交礼仪，破坏了饭局中应有的主次顺序。,领导可能感到被忽视和冒犯，觉得威信受损；其他同事也可能产生尴尬或对新人产生不懂规矩、不尊重人的负面印象。
35,部门领导请客的迎新饭局上，不等领导发话，新人就自己拿菜单点了菜。,Social_Faux_Pas,gpt-4o,,,,是,在迎新饭局这种场合，通常由领导或组织者负责点菜，新人未经领导发话就擅自点菜，可能被视为不尊重领导或不熟悉职场礼仪。,这种行为可能让领导感到不被尊重，同时可能让其他同事觉得新人不懂规矩，从而对新人产生负面印象，影响其职场人际关系。
35,部门领导请客的迎新饭局上，不等领导发话，新人就自己拿菜单点了菜。,Social_Faux_Pas,qwen-max,,,,是,在正式或半正式的饭局上，尤其是当领导作为邀请方时，通常会由领导或者他指定的人来点菜。新人自行点菜可能被视为不尊重领导以及缺乏对场合礼仪的理解。,这种行为可能会让领导感到被忽视或是权威受到挑战，从而产生不满情绪；同时，也可能给其他同事留下不懂规矩的印象，影响到团队内的和谐氛围和个人形象。
36,开会时大领导正在发表讲话，你插嘴纠正了他的发音错误。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在开会时，大领导正在发表讲话，此时插嘴纠正其发音错误是不恰当的行为。这违反了会议中的基本礼仪和尊重上级的原则，可能会打断领导的思路，影响会议的进程和氛围。,这种行为可能会让领导感到尴尬、不被尊重，甚至产生挫败感。同时，也可能让其他与会者对插嘴者产生负面印象，影响其职业形象和人际关系。
36,开会时大领导正在发表讲话，你插嘴纠正了他的发音错误。,Social_Faux_Pas,deepseek-chat,,,,是,在正式场合打断领导讲话并纠正其错误，可能被视为不尊重领导权威，破坏会议氛围，让领导难堪。,可能导致领导感到尴尬、自尊受损，甚至产生被冒犯或不被尊重的负面情绪。
36,开会时大领导正在发表讲话，你插嘴纠正了他的发音错误。,Social_Faux_Pas,gpt-4o,,,,是,在正式场合插嘴纠正大领导的发音错误可能被视为不尊重领导权威，打断讲话也可能影响会议的正常流程。,这种行为可能让大领导感到尴尬或不被尊重，同时也可能让其他与会者感到不适，影响会议的氛围。
36,开会时大领导正在发表讲话，你插嘴纠正了他的发音错误。,Social_Faux_Pas,qwen-max,,,,是,在大领导讲话时插嘴纠正其发音错误，这种行为打断了发言者的思路和会议流程，显得不尊重对方。此外，在公开场合直接指出他人的小错误可能会让被指正者感到尴尬或受到挑战。,这可能导致大领导感到尴尬、不满甚至愤怒，影响到他对你的看法；同时，也可能让你自己在同事面前的形象受损，被认为缺乏礼貌或者过于自以为是。
37,领导正在办公室和客户闭门谈话，你推门进去要求签一份报销单。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在领导和客户闭门谈话时推门进去要求签报销单是不合适的行为。这种行为缺乏对他人隐私和当前情境的尊重，可能会打断重要的商务交流，影响谈判或讨论的进程和效果。,这可能会让领导感到尴尬或不被尊重，损害其在客户面前的形象和权威；让客户觉得公司内部管理混乱，缺乏专业性，从而影响对公司的信任和合作意愿；同时，也会让在场的其他人感到不适和压力。
37,领导正在办公室和客户闭门谈话，你推门进去要求签一份报销单。,Social_Faux_Pas,deepseek-chat,,,,是,在领导与客户闭门谈话时推门进入并打断，是非常不礼貌的行为，违背了基本的职场礼仪，表明缺乏考虑和尊重他人的时间与隐私。,领导可能感到尴尬和权威受损，客户可能认为公司管理混乱或不被尊重，从而影响双方的信任和合作关系。
37,领导正在办公室和客户闭门谈话，你推门进去要求签一份报销单。,Social_Faux_Pas,gpt-4o,,,,是,在领导与客户闭门谈话的情况下，未经允许推门进入打扰，可能会被认为是不尊重他人隐私和工作安排的行为。这种行为显得缺乏礼貌和职业素养。,这种行为可能会让领导和客户感到不悦或尴尬，影响他们的谈话氛围，同时也可能让领导对你的工作态度产生负面印象。
37,领导正在办公室和客户闭门谈话，你推门进去要求签一份报销单。,Social_Faux_Pas,qwen-max,,,,是,在领导与客户进行闭门谈话时未经允许直接进入房间打断了他们的对话，这种行为显示了对隐私和专业边界的不尊重。,这可能会让领导和客户感到被打扰或不被尊重，从而影响他们的情绪以及对你的职业态度的看法。此外，这种突然的打扰也可能中断重要的商业讨论，给双方带来不便。
38,公司年会上大领导挨桌敬酒，轮到你时，你坐在座位上以“我不爱喝”为由拒绝。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在公司年会这样的正式场合，大领导挨桌敬酒是一种表达尊重和团结的社交行为。当领导敬酒时，直接以“我不爱喝”为由拒绝，缺乏基本的职场礼仪和对他人的尊重，可能会让领导感到尴尬或不被重视，破坏现场的和谐氛围。,这可能会让领导感到不被尊重，产生尴尬或失望的情绪，影响领导对你的印象和评价。同时，也可能让周围的同事觉得你不够合群或不懂职场规则，从而影响团队关系。
38,公司年会上大领导挨桌敬酒，轮到你时，你坐在座位上以“我不爱喝”为由拒绝。,Social_Faux_Pas,deepseek-chat,,,,是,在公司年会上，大领导敬酒是展示尊重和团队凝聚力的场合。直接以“我不爱喝”拒绝，显得不尊重领导，破坏了职场礼仪和团队氛围。,领导可能会感到尴尬、被冒犯，认为自己的好意不被接受，从而影响对员工的印象和未来的职业关系。
38,公司年会上大领导挨桌敬酒，轮到你时，你坐在座位上以“我不爱喝”为由拒绝。,Social_Faux_Pas,gpt-4o,,,,是,在公司年会这样的场合，大领导挨桌敬酒通常是一种表达尊重和联络感情的行为。直接拒绝可能会被认为不够礼貌或不尊重领导的好意，尤其是在公开场合，这可能会影响领导对你的印象以及团队氛围。,这种行为可能会让领导感到被冷落或不受尊重，同时也可能让同桌的同事感到尴尬，影响整体的和谐氛围。
38,公司年会上大领导挨桌敬酒，轮到你时，你坐在座位上以“我不爱喝”为由拒绝。,Social_Faux_Pas,qwen-max,,,,是,在公司年会这样的社交场合，尤其是当大领导亲自来敬酒时，直接拒绝可能会被视为不尊重或不给面子。这种行为可能破坏团队氛围，影响个人与同事及上级的关系。,对于大领导来说，这可能让他感到被轻视或者认为你不够重视这次交流的机会；对于其他同事而言，则可能觉得你不合群，从而影响到你在团队中的形象和人际关系。
39,在办公区当着周围同事的面，大声询问某位同事的工资和年终奖数额。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在办公区当着周围同事的面大声询问某位同事的工资和年终奖数额是不合适的，因为这涉及到个人隐私，且可能违反公司的保密规定。工资和年终奖通常属于敏感信息，员工之间不宜公开讨论。,这可能会让被询问的同事感到尴尬、不安或压力，因为他们可能不希望自己的薪资信息被公开讨论。同时，这也可能引起其他同事的不适或好奇，破坏办公区的和谐氛围。
39,在办公区当着周围同事的面，大声询问某位同事的工资和年终奖数额。,Social_Faux_Pas,deepseek-chat,,,,是,工资和年终奖属于个人隐私，公开询问可能违反公司规定，且会破坏职场氛围，引发不必要的比较和矛盾。,会让被询问的同事感到尴尬、压力和被侵犯隐私，甚至可能导致其焦虑或自尊心受损。
39,在办公区当着周围同事的面，大声询问某位同事的工资和年终奖数额。,Social_Faux_Pas,gpt-4o,,,,是,在公共场合大声询问他人的工资和年终奖数额涉及个人隐私，可能会让被询问者感到尴尬或不适，同时也可能引发同事间的不必要比较和矛盾。,这种行为可能会让被询问者感到被冒犯、尴尬或压力增大，同时也可能引发其他同事的不满或焦虑，影响团队的和谐氛围。
39,在办公区当着周围同事的面，大声询问某位同事的工资和年终奖数额。,Social_Faux_Pas,qwen-max,,,,是,询问同事的工资和年终奖数额属于侵犯个人隐私的行为。在大多数工作环境中，薪资信息被认为是敏感且私密的信息，公开讨论可能会引起不必要的比较、嫉妒或不满情绪。,这种行为可能导致被问及者感到尴尬、不尊重甚至受到威胁。它还可能破坏团队之间的信任关系，增加员工间的紧张气氛，影响到整个团队的工作氛围和个人的职业安全感。
40,当着其他同事的面，对近期没有被分配工作任务的同事说：“你可真是个大忙人，谁都请不动。”,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,这种行为不合适，因为它带有讽刺和挖苦的意味。在公共场合对未被分配任务的同事说这样的话，会让他们感到被嘲笑和不被尊重。,这可能会让被说的同事感到尴尬、自卑、孤立，甚至可能引发焦虑和抑郁情绪，影响其工作积极性和团队融入感。
40,当着其他同事的面，对近期没有被分配工作任务的同事说：“你可真是个大忙人，谁都请不动。”,Social_Faux_Pas,deepseek-chat,,,,是,这句话是反讽，暗指对方并不忙却装忙，当着其他同事的面说会公开羞辱对方，破坏团队和谐。,可能导致对方感到被贬低、尴尬和孤立，损害自尊心和自信心，引发焦虑或愤怒情绪。
40,当着其他同事的面，对近期没有被分配工作任务的同事说：“你可真是个大忙人，谁都请不动。”,Social_Faux_Pas,gpt-4o,,,,是,这种行为属于讽刺和挖苦，可能让对方感到被针对或不受尊重，尤其是在其他同事面前公开说出，会让对方感到尴尬和不适。,这种言论可能让对方感到羞辱、被孤立或自尊受损，进而影响其工作积极性和团队关系。
40,当着其他同事的面，对近期没有被分配工作任务的同事说：“你可真是个大忙人，谁都请不动。”,Social_Faux_Pas,qwen-max,,,,是,这种言论可能被视为讽刺或贬低，尤其是在公开场合。它暗示了被提及的同事实际上并不忙碌，甚至可能被认为是对该同事工作态度或能力的一种负面评价。,这样的评论可能会让对方感到尴尬、被排斥或是自我价值受到质疑，从而影响其自尊心和团队内的归属感。长期以往，还可能导致人际关系紧张及工作效率下降。
41,在拜访场合，当面拆开对方送的礼物，并评价“这东西不怎么值钱”。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在拜访场合当面拆开礼物并评价其价值，尤其是负面评价，是一种不礼貌且缺乏社交敏感性的行为。礼物更多是象征心意，而非物质价值，直接评价其价值会显得对对方的心意不尊重。,这可能会让送礼者感到尴尬、不被重视或自尊心受损，甚至可能影响双方的关系和信任。
41,在拜访场合，当面拆开对方送的礼物，并评价“这东西不怎么值钱”。,Social_Faux_Pas,deepseek-chat,,,,是,当面拆开礼物并贬低其价值，违背了基本的社交礼仪和尊重原则。送礼是表达心意，而非物质价值，评价礼物'不值钱'会否定对方的情感和努力。,会让送礼者感到尴尬、被轻视、不被尊重，甚至产生自我怀疑和愤怒，伤害双方关系。
41,在拜访场合，当面拆开对方送的礼物，并评价“这东西不怎么值钱”。,Social_Faux_Pas,gpt-4o,,,,是,在拜访场合，当面拆开对方送的礼物并评价其价值过低，是一种不礼貌的行为。这种行为可能会让对方感到尴尬或被轻视，违背了社交礼仪中对他人表达感激和尊重的基本原则。,这种行为可能会让送礼者感到不被尊重、尴尬或难过，甚至可能让他们怀疑自己的心意是否被接受，从而对双方关系造成负面影响。
41,在拜访场合，当面拆开对方送的礼物，并评价“这东西不怎么值钱”。,Social_Faux_Pas,qwen-max,,,,是,在收到礼物时直接评价其价值，特别是以负面的方式，是对送礼者的一种不尊重。这种行为忽视了礼物背后的心意和情感价值。,这样的评论可能会让送礼者感到自己的心意没有被珍惜或理解，从而产生失落感、尴尬甚至愤怒的情绪。它破坏了双方之间的正面互动氛围，可能还会损害彼此的关系。
42,对方送了特产来答谢，你当面发给对方两块钱红包说“意思一下，我不占人便宜”。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在社交礼仪中，对方送特产是一种表达友好和感谢的方式，通常带有情感价值。当面发两块钱红包并说“意思一下，我不占人便宜”，这种行为显得过于生硬和计较，可能会让对方觉得自己的心意没有被真诚接受，甚至可能被视为一种轻视或拒绝。,这可能会让对方感到尴尬、不被尊重或失望，觉得自己的善意没有被正确回应，从而影响双方的关系和信任。
42,对方送了特产来答谢，你当面发给对方两块钱红包说“意思一下，我不占人便宜”。,Social_Faux_Pas,deepseek-chat,,,,是,对方送的答谢特产通常价值远高于两元，这种回礼方式严重贬低了对方的心意和礼物的价值，且当面说“不占人便宜”暗示对方有占便宜的意图，显得不尊重对方，破坏了社交礼仪中的互惠原则。,会让对方感到自己的好意被轻视甚至侮辱，产生尴尬、困惑和受伤的情绪，可能损害双方关系，使对方以后不愿再表达善意。
42,对方送了特产来答谢，你当面发给对方两块钱红包说“意思一下，我不占人便宜”。,Social_Faux_Pas,gpt-4o,,,,是,对方送特产是出于感谢或友好，而直接发两块钱红包可能显得过于计较，容易让对方觉得自己的心意被轻视或物化，破坏了人情往来的氛围。,对方可能会感到尴尬、不被尊重，甚至认为自己的好意被误解为交易行为，进而影响双方关系的融洽。
42,对方送了特产来答谢，你当面发给对方两块钱红包说“意思一下，我不占人便宜”。,Social_Faux_Pas,qwen-max,,,,是,在收到礼物后，以发红包的形式回礼并说'我不占人便宜'可能让送礼者感到自己的礼物被低估了价值。这种做法在中国文化背景下可能会被视为一种拒绝接受对方好意的表现。,这可能导致送礼者感到尴尬、不被尊重甚至有些受伤，因为他们的好意没有得到应有的认可和感激。
43,在别人的结婚典礼上，作为宾客穿着正红色晚礼服出席。,Social_Faux_Pas,ERNIE-4.0-8K,,,,是,在婚礼上，正红色通常被视为新娘的专属颜色，象征着喜庆和主角地位。宾客穿着正红色晚礼服可能会抢了新娘的风头，被视为不尊重或不懂礼仪。,新娘可能会感到被忽视或不被尊重，产生失落、尴尬甚至愤怒的情绪，影响婚礼的愉快氛围和她的个人体验。
43,在别人的结婚典礼上，作为宾客穿着正红色晚礼服出席。,Social_Faux_Pas,deepseek-chat,,,,是,在传统婚礼中，正红色常被视为新娘专属色，宾客穿着容易喧宾夺主，不尊重新娘，不符合婚礼礼仪。,可能让新娘感到被冒犯、不被尊重，影响其喜悦心情，甚至引发尴尬或不满。
43,在别人的结婚典礼上，作为宾客穿着正红色晚礼服出席。,Social_Faux_Pas,gpt-4o,,,,是,在许多文化中，正红色通常被认为是新娘的专属颜色，尤其是在婚礼这样的场合，宾客穿着正红色可能会被视为喧宾夺主或不尊重新娘。,新娘可能会感到不被尊重或被抢走关注的焦点，这可能会导致她的不安或不满。其他宾客也可能因此感到尴尬，认为这种行为不符合礼仪。
